title,node nr.,author,stadtbezirk,year,thema,wirkung,rank,status,desc,umsetzung,score_wenigergut,score_gut,ergebnis_haushaltsberatungen,stellungnahme_verwaltung,bezirksbeiratshinweis,gemeinderat_prueft,path,topic
Entwicklungskonzept westliche Solitudestraße (ehem. Walz Areal),61818,Hannes,"
        Weilimdorf      ",,Weitere,Ausgabe,,,"Viele Jahre wird schon über die Brachflächen / größten teils defekt Gewächshäuser auf dem ehemaligen Walz Areal diskutiert.  Nachdem die Stadt Stuttgart den größeren Teil der Fläche erworben hat sollte nun ein Entwicklungsprozess  mit der Bürgerbeteiligung umgesetzt werden.  Die Fläche vom Jugendhaus Weilimdorf bis zur Haltestelle Bergheimer Hof muss Überplant werden, das Gebiet wurde inzwischen in verschiedenen Planungsgebiete (A, B. C) eingeteilt.     Dabei müssen die Belange der Weilimdorfer Bürger (Bürgerhaus auf dem A Gelände) ,  Lernschwimmbecken   Wettkampf gerechte Sporthalle, erweiterte  Sportflächennutzung (B Gelände) und Freizeitnutzung  (C Fläche) berücksichtigt werden.   Ferner ist in die Planung eine Nutzung durch Cloroplast , (urban Gardening) zu berücksichtigen.  Auch sind die Wünsche und Planungen der Sportvereine in dem Bereich mit einzubeziehen.   Damit es hier weitergehen kann sind weitere erhebliche Planungsmittel notwendig.  Für die spätere weitere Umsetzung sollten heute schon Investitionsmittel im Haushalt eingestellt werden",,-126,307,,,,,source_files/buergerhaushalt_5.html,-1
Übernahme der Anteile an der VfB Stuttgart 1893 AG von der Daimler AG,60791,Fritz0609,"
        Bad Cannstatt      ",2021.0,Weitere,Ausgabe,2154.0,,"In den vergangenen Jahren hat sich Stuttgart immer wieder versucht als Sportstadt zu vermarkten. Die öffentliche Wahrnehmung von Stuttgart als Sportstadt hängt aber massiv vom Erscheinungsbild des VfB Stuttgart ab, welches leider desolat ist.  Dies wiederum hängt offensichtlich mit den handelnden Akteuren in den Gremien des VfBs zusammen.Nachdem sich die Daimler AG in den letzten Jahren nicht bemüht hat einen besonnen und nüchtern handelnden Vertreter in den Aufsichtsrat der VfB Stuttgart AG zu entsenden, ist davon auszugehen, dass ihr nicht viel an ihrer Beteiligung gelegen ist. Die aktuelle Führungskrise dürfte darüber hinaus den Wert der Anteile drücken (11,75% in 2017 für 41,5 Mio. € erworben).Die Stadt Stuttgart sollte diese Chance nutzen und Daimler ein Angebot für die Übernahme der Anteile machen. 20 Mio. € sollten mittlerweile ein faires Angebot sein.Daimler könnte sich so von der konfliktären Beteiligung befreien. Die Stadt Stuttgart könnte sich, mit einem Vertreter im Aufsichtsrat, für die Befriedung der aktuellen Führungskrise und der langfristigen positiven Entwicklung des VfB einsetzen und so zum positiven Image als Sportstadt beitragen.Dieser einmalige Invest kann über mehrere Jahre Marketingkampagnen einsparen und ist daher kostenneutral für den Haushalt.",,-459,77,,,,,source_files/buergerhaushalt_8.html,-1
Hecken pflanzen,62070,Essbare Stadt,"
        Stuttgart (gesamt)      ",2021.0,Weitere,Ausgabe,132.0,,"Für die Vogelwelt, für den Artenschutz allgemein sollten mehr Hecken entstehen, allerdings kein Kirschlorbeer, sondern z.B. Weißdorn, Rotdorn  gab es früher in Stuttgart sehr häufig),  vor allem biienenfrendliche Hecken, auch zwischen Fahrbahnen, entlang von Straßen.",,-98,719,,,,,source_files/buergerhaushalt_4.html,-1
Baufläche für 2. S-Bahn-Stammstrecke zwischen Mittnachtstraße und Hauptbahnhof freihalten,42053,Philipp21,"
        Stuttgart (gesamt)      ",2017.0,Weitere,Ausgabe,1304.0,,"Falls man nach der Fertigstellung nach S21 doch merkt, dass mehr Kapazität auf der S-Bahn benötigt wird, wäre es gut, noch freie Bauflächen zu haben. So könnte man parallel zur heutigen Strecke vom Hauptbahnhof zur neuen S-Bahn Haltestelle Mittnachtstraße eine 2. Stammstrecke einrichten, die nur bis zum Hauptbahnhof führt. Dieser Bahnhof könnte z.B. auch nur von Schnell-S-Bahnen angefahren werden, die nur die größeren Umsteigestationen und Außenäste des S-Bahnnetzes bedienen.",,-84,289,,,,,source_files/buergerhaushalt_17.html,-1
Haldenrainstraße - Verkehr verlangsamen,70522,Heimsch,"
        Zuffenhausen      ",2023.0,Lärm,Ausgabe,1357.0,,Die Haldenrainstraße zwischen Kelterplatz und Schozacher Straße wird als Rennstrecke benutzt. Der dabei entstehende Lärm vervielfacht sich in den Straßenschluchten der massiven Wohnblocks.Zum einen muss hier tagsüber die Geschwindigkeitsbegrenzung eingehalten werden  und des Weiteren sollte nachts eine weitere Geschwindigkeitsbegrenzung auf 30km/h vorgesehen werden.Es werden entsprechende Schilder und häufigere Kontrollen oder Blitzer benötigt.Vielen Dank!,,-222,310,,,,,source_files/buergerhaushalt_3.html,-1
U14 Münster - Lärm für Anwohner reduzieren,70197,Waiter,"
        Münster      ",2023.0,Lärm,Ausgabe,1370.0,,"Die SSB testet schon seit Jahren Maßnahmen gegen das Kurvengequitsche. Es gibt in der Zwischenzeit eine Lösung, bei der stationär die Schienen ""konditioniert"" werden.Deshalb sind jetzt sofort vorrangig die HotSpots, wie z.B. Kurve Aubrücke, mit dem System auszurüsten.",,-134,306,,,,,source_files/buergerhaushalt_3.html,-1
Endlich Lärmschutz im Stammheimer Norden wegen des Containerbahnhofs verbessern,70015,Petra Pan,"
        Stammheim      ",,Lärm,Ausgabe,,,"Zahlreiche Stammheimer sind seit vielen Jahren stark belastet vom Lärm des Containerbahnhofs in Kornwestheim. Lärmgrenzen sind seit mindestens 15 Jahren deutlich überschritten, vor allem bei Nacht. Da der Containerbahnhof in den nächsten Jahren noch ausgebaut werden soll, muss nun endlich und schnellstmöglich der Schutz der Stammheimer Bevölkerung durch entsprechende Maßnahmen gewährleistet werden.",,-107,323,,,,,source_files/buergerhaushalt_2.html,-1
Buntes Stuttgart ,70686,Jonana,"
        Stuttgart-Süd      ",2023.0,Weitere,Ausgabe,965.0,,"Die Stadt bunter gestalten. Ein Beispiel wären beispielsweise das Gestalten einer bunten Staffel. So könnte bspw. die Liststaffel in Regenbogenfarben gestaltet werden oder auch die Vielfalt der Ampelmännchen, wie sie bereits in anderen Städten vorhanden ist, angleichen. So können echte Hingucker und neue Sightseeingspots geschaffen werden. Die Liststaffel bietet sich hierfür insbesondere an, da diese auch sehr gut von der Zacke aus zu sehen ist und es auch passend zu einigen Veranstaltungen auf dem Marienplatz wäre.",,-324,411,,,,,source_files/buergerhaushalt_2.html,-1
Think Tank für nachhaltige Stadtentwicklung einrichten,42484,Stadtfreund,"
        Stuttgart (gesamt)      ",2017.0,Weitere,Ausgabe,864.0,,"Was kennzeichnet eine nachhaltige Stadtentwicklung vor dem Hintergrund des Klimawandels? Welche Konzepte können als Vorbilder und Beispiele für andere Städte herangezogen werden? Hierzu sollte von der Stadt ein Think Tank  entwickelt  werden  und  engagierte  Bürger  Ihr  Wissen  einbringen  können, wo  Ideen  und  Lösungsansätze entwickelt werden, die  nicht  nur  dem  Stadtrat,  sondern  auch  den  entsprechenden  Abteilungen  und  Fachreferaten  vorzulegen  sind.  Folgende  inhaltliche  Fragestellungen  wären  dabei  zu  beachten:Der  Think  Tank  muss  eine kollektive Bewegung aus Wirtschaft, Forschung, Politik und vor allem den Einwohnern sein.  Gemeinsam fördert man auch  das städtische Bewusstsein für Klimaschutz.1. Kann ein Green Bond eine Möglichkeit sein um Fremdkapital zur Investition in das städtische Abfallmanagement, Maßnahmen zur Wasseraufbereitung und zur Verbesserung der Infrastruktur  nutzen?2. Wie  kann  man neben einer verbesserten Mobilität  auch X Tonnen CO2 einsparen und die Luftqualität für die Bewohner der Stadt  Stuttgart optimieren?3. Immobilien sind jedoch auch für rund 3/4 der städtischen Treibhausgas-Emissionen verantwortlich. Daher muss Stuttgart lernen nachhaltig zu bauen.4. Reduzierung von Emissionen steht im Vordergrund, aber man muss sich mit möglichen Auswirkungen beschäftigen, in dem Risiken identifiziert und bewertet werden. In einem anschließenden Maßnahmenkatalog sind dann Strategienzu definieren.5.Wie kann Stuttgart bis 2030 komplett unabhängig von fossilen Brennstoffen sein und die CO2-Emissionen bis 2020 auf 1,5 Tonnen pro Bewohner zu begrenzen. Im Zuge der ambitionierten Ziele müssten Projektentwickler/ Bauträger eine Software erhalten, mit der man den ökologischen Fußabdruck aller Baumaterialien über die ganze Lebenszeit errechnen kann.6. Welche Möglichkeiten gibt es für ökologische Baustoffe, Vernetzung öffentlicher Grünflächen, Reduktion des Fahrzeugverkehrs und die Verbesserung der Luftqualität.",,-116,355,,,,,source_files/buergerhaushalt_16.html,-1
Brunnen hinter der Stiftskirche durch Trinkbrunnen ersetzen,43356,Trixie,"
        Stuttgart-Mitte      ",2017.0,Weitere,Ausgabe,1089.0,,Den Brunnen hinter der Stiftskirche entfernen und durch einen Trinkwasserbrunnen ersetzen.,,-134,318,,,,,source_files/buergerhaushalt_16.html,-1
