title,node nr.,author,stadtbezirk,year,thema,wirkung,rank,status,desc,umsetzung,score_wenigergut,score_gut,ergebnis_haushaltsberatungen,stellungnahme_verwaltung,bezirksbeiratshinweis,gemeinderat_prueft,path,topic
S21 / Risiken / Sicherer Schutz vor Feuer und Wasser,4639,Gast,"
        Stuttgart (gesamt)      ",2013.0,Zusätzliche Themen,kostenneutral,481.0,,"Gemeinderatsausschuss bilden, der die kritischsten bzw. fatalen Risiken bei der Bahn hinterfragt und auseinander nimmt.Hinter Risiken stehen potentielle Probleme - kann man diese einwandfrei lösen oder bleiben Gefahren für Leib und Leben, aber auch fürs Mineralwasser usw. bestehen? Keine Geheimnisse!",,-199,328,,,,nein,source_files/buergerhaushalt_27.html,Zusätzliche Themen
Angebote für Jugendliche in Vaihingen schaffen,4350,Pinguin,"
        Vaihingen      ",2013.0,"Kinder, Jugend, Familie",Ausgabe,483.0,,"Vaihingen ist ein Stadtteil in dem viele Familien wohnen. Wo können sich jedoch die Jugendlichen treffen? Für sie gibt es lediglich ein offenes Angebot des Jugendhauses. An immer mehr Plätzen im Stadtteil werden sie als störend empfunden und vertrieben. Sie haben kaum Möglichkeiten sich auf öffentlichen Plätzen zu treffen, schon gar nicht in den Abendstunden.Ich wünsche mir, dass ein Jugendsozialarbeiter eingestellt wird, der die Jugendlichen vor Ort aufsucht (mobile Jugendarbeit) und mit Ihnen gemeinsam ein umsetzbares Konzept für Ihren Stadtteil Vaihingen entwickelt. Hierbei könnte ein von Ihnen gestalteter Platz entstehen, der zum gemeinsamen Treffen, Sport machen und sich interkulturell austauschen einlädt.",,-145,273,,,,nein,source_files/buergerhaushalt_27.html,"Kinder, Jugend, Familie"
SSB Anzeigen abändern,3859,Gast,"
        Stuttgart (gesamt)      ",2013.0,"Busse, Bahnen (ÖPNV)",Ausgabe,484.0,,"Wenn eine U-Bahn in eine Haltestelle einfährt, wird auf der Anzeigetafeln immer ganz groß gezeigt, welche U-Bahn einfährt. Dies erkennen die Reisenden ja auch wenn sie auf die Bahn schauen.Ich - als Insasse der Bahn würde gerne sehen, welchen Anschluss ich direkt kriegen kann und daher sollte auf der Anzeigentafel die übliche Anzeige mit den nachfolgenden Bahnen und Minuten bis diese eintreffen stehen bleiben. Die einfahrende Bahn kann auf der Anzeigetafel blinkend angezeigt werden",,-132,260,,,,nein,source_files/buergerhaushalt_27.html,"Busse, Bahnen (ÖPNV)"
Innenstadtzone bis ZOB Degerloch ausweiten,5162,Gast,"
        Degerloch      ",2013.0,"Busse, Bahnen (ÖPNV)",Ausgabe,485.0,,Um den Verkehr wirklich aus der Innenstadt heraus zu bekommen sollte die Innenstadtzone ausgedehnt werden.Da der Zentrale Omnibus Bahnhof (ZOB) ein Umsteigebahnhof ist bietet sich das dort an.,,-130,258,,,"



Der Degerlocher Bezirksbeirat spricht sich einstimmig und positiv für diesen Vorschlag aus und hält diesen für fachlich und sachlich dringend geboten. Außerdem regt er an, die Innenstadtzone darüber hinaus bis zum P+R Parkhaus Albstraße auszudehnen.


",nein,source_files/buergerhaushalt_27.html,"Busse, Bahnen (ÖPNV)"
Ein Mobilfunkvorsorgekonzept für Stuttgart,3904,Gast,"
        Stuttgart (gesamt)      ",2013.0,Gesundheit,Ausgabe,486.0,"

      Gemeinderat hat abgelehnt  
  

 
","Die neuen Kommunikationstechnologien erfassen alle Bereiche des Lebens. Die Belastungen mit elektromagnetischen Feldern steigen dadurch enorm. LTE wird die Strahlenbelastung nochmals erhöhen. Die WHO hat im Mai 2011 diese Strahlen erstmals in die Kategorie „möglicherweise krebserregend“ eingeordnet. Die Mobilfunkmasten werden nicht nach Prinzipien der Minimierung der Belastung aufgestellt. Die Stadt Stuttgart kann hier mit einem Mobilfunk-Vorsorgekonzept regelnd eingreifen:1. Die Stadt Stuttgart erstellt auf Grundlage der bestehenden Senderstandorte ein Strahlenkataster über die von Mobilfunksendeanlagen ausgehende Strahlenbelastung im Stadtgebiet.2. Die Stadtverwaltung wird beauftragt, ein Mobilfunk-Vorsorgekonzept zur Eindämmung der unkontrolliert zunehmenden Strahlenbelastung zu erstellen.3. Die Stadtverwaltung initiiert ein Modellprojekt zur Testung neuer Prinzipien der Mobilfunkversorgung in Großstädten nach dem Prinzip der „Strahlenminimierung durch Vergleichmäßigung“. (Unter  Hinzuziehung geeigneter Institute zur technischen, wissenschaftlichen und juristischen Begleitung durchzuführen.4. Erstellung eines integrierten Netzplanes für alle bestehenden und noch zu erstellenden Mobilfunkanlagen5. Einbeziehung der betroffenen Einwohner und des entsprechenden Bezirksbeirats bei Erstellung neuer Anlagen oder Umrüstung alter Anlagen.Begründung:Das Europäische Parlament, der Europarat, die Europäische Umweltagentur, der BUND und die Versicherungsgesellschaften ordnen die Mobilfunk-Technologie als hohes Gesundheitsrisiko ein.Der Gemeinderat kann mit Hilfe eines Mobilfunk- Vorsorgekonzepts steuernd in die Versorgung eingreifen, einen Antennenwildwuchs und die hohe Strahlenbelastung verhindern.",,-159,286,"Im Rahmen der Haushaltsplanberatungen wurde die Erstellung eines Strahlenkatasters und eines Mobilfunkvorsorgekonzepts beantragt. Der Vorschlag hat im Gemeinderat jedoch keine Mehrheit gefunden. Ein wesentlicher Grund hier für ist, dass ein Vorsorgekonzept weder für Mobilfunkbetreiber noch für private Grundstückseigentümern verpflichtend ist.",,,nein,source_files/buergerhaushalt_27.html,Gesundheit
Verschönerung Cannstatter Wasen,4286,Gast,"
        Bad Cannstatt      ",2013.0,"Stadtplanung, Städtebau",Ausgabe,487.0,,"Der Cannstatter Wasen wird nur für ein paar wenige Anlässe im Jahr genutzt. In der übrigen Zeit liegt das Gelände brach. Dafür scheint das schön am Neckar gelegene Gelände einfach zu schade. Wäre es nicht schön, wenn man das Gelände in der übrigen Zeit zur Naherholung nutzen könnte. In der jetzigen Gestaltung der Fläche scheint das nicht wirklich möglich. Ein tragbares Konzept für die Nutzung des Geländes als Naherholungsgebiet muss entwickelt und im Anschluss realisiert werden.",,-119,246,,,,nein,source_files/buergerhaushalt_27.html,"Stadtplanung, Städtebau"
Treffpunkte für Jugendliche,3244,Zukunft4you,"
        Stuttgart (gesamt)      ",2013.0,"Kinder, Jugend, Familie",Ausgabe,488.0,,Es sollte in jedem Stadtteil mindestens einen Treffpunkt für Jugendliche mit Bedachung und Sitzgelegenheit geben. Solch ein Treffpunkt könnte im Rahmen einer Schulprojektreihe mit den Jugendlichen selbst entwickelt und errichtet werden. Ein Streetworker sollte sich dieser Treffpunkte dann annehmen um mit den Jugendlichen in Kontakt zu kommen.,,-115,241,,,,nein,source_files/buergerhaushalt_27.html,"Kinder, Jugend, Familie"
Fußgängerbrücke über die L1187 beim Parkplatz Bärenschlössle sanieren oder abreißen ,4192,Gast,"
        Vaihingen      ",2013.0,"Stadtplanung, Städtebau",Ausgabe,489.0,,"Ich schlage vor, die Fußgängerbrücke über die L1187 beim Parkplatz entweder zu sanieren oder aber eben abreißen zu lassen.Eine seit langem gesperrte Brücke macht keinen Sinn.",,-104,230,,,,nein,source_files/buergerhaushalt_27.html,"Stadtplanung, Städtebau"
 Straßenbauarbeiten besser koordinieren,5356,Gast,"
        Stuttgart (gesamt)      ",2013.0,Verkehr,Sparidee,490.0,,"Warum reisst man die Straße für die Abwasserleitungserneuerung auf, teert dann wieder zu, und ein halbes Jahr später dann alles von vorn, weil die Gasleitungen ausgetauscht werden müssen?Die schlechte Koordinierung verschiedener Gewerke im Untergrund von Straßen (Wasser, Abwasser, Gas, Strom, Telekommunikation) ist eine reine Geldverschwendung. Hier wäre Koordination wünschenswert. Sie spart Geld und schont die Nerven der Anwohner, die den Krach und Schmutz nur ein-, statt zwei- oder dreimal erleben müssen.",,-101,227,,,,nein,source_files/buergerhaushalt_27.html,Verkehr
Bebauung Gleisvorfeld des Hauptbahnhofs nicht zulassen,3435,Gast,"
        Stuttgart-Mitte      ",2013.0,Zusätzliche Themen,kostenneutral,491.0,,"Keine Bebauung zulassen, weil damit die Kosten eines Ausstiegs aus S 21 in die Höhe getrieben werden. Der wird ja immer wahrscheinlicher, weil die Kosten nicht mehr wirtschaftlich sind.",,-257,382,,,,nein,source_files/buergerhaushalt_27.html,Zusätzliche Themen
